id,language_iso639_code,translation
1,en,Public
1,ja,公立
1,vi,Công lập
2,en,Private
2,ja,私立
2,vi,Tư thục
3,en,Liberal Arts
3,ja,リベラルアーツ
3,vi,Nghệ thuật tự do
4,en,Combined
4,ja,デュアル
4,vi,Kết hợp
