id,language_iso639_code,translation
1,en,Foundation
1,ja,ファウンデーション
2,en,International Year One
2,ja,インターナショナル・イヤー・ワン
3,en,Undergraduate Pathway
3,ja,アンダーグラデュエイト・パスウェイ
4,en,Direct Entry
4,ja,ダイレクト・エントリー
