id,primary_university_id,code,slug,city_id,latitude,longitude,founding_year,students,international_students,url,is_active,tid_name,tid_description
53,46,uhi,,58,2.8142071469046700,101.7582303620490000,1952,13000,5000,https://www.herts.ac.uk/,TRUE,53,110
54,46,shi,,44,2.8142071469046700,101.7582303620490000,1843,13000,5000,https://www.shu.ac.uk/,TRUE,54,111
55,46,sni,,59,2.8142071469046700,101.7582303620490000,1932,13000,5000,https://www.snhu.edu/,TRUE,55,112
56,,lal,,56,51.3411612226739000,12.3784812841537000,2020,1000,300,https://www.lancasterleipzig.de/,TRUE,56,113
57,46,aui,,3,2.8142071469046700,101.7582303620490000,1986,13000,5000,https://newinti.edu.my/,TRUE,57,114
58,,usx,,61,50.8678883200350000,-0.0875706604282810,1961,18600,5600,https://www.sussex.ac.uk/,TRUE,115,117
59,,rhl,,62,51.4256100034348000,-0.5613859314211430,1886,12600,1800,https://www.royalholloway.ac.uk/,TRUE,116,118
60,,wwu,,63,48.7348250331710000,-122.4865245065170000,1893,14650,200,https://www.wwu.edu/,TRUE,119,120
61,,jmu,,64,38.4357638707911000,-78.8696690134575000,1908,21100,250,https://www.jmu.edu/,TRUE,121,122
62,,csm,,65,33.1306510661511000,-117.1588143932060000,1989,15000,400,https://www.csusm.edu/,TRUE,123,124
